vertical_code,vertical_name,rank,company_name,company_key,acquiring_likelihood_score,confidence,signals,evidence_count,osm_type,osm_id,lat,lon,website,phone,address,source_tags_json
0001-1499,Agricultural Services,11,Pet Clinic,pet clinic,51,medium,"operator,website,address",1,node,11400866108,40.6306236,22.9434527,https://pet-clinic.gr/,,Προξένου Κορομηλά 20 54622 Θεσσαλονίκη,"{""addr:city"": ""\u0398\u03b5\u03c3\u03c3\u03b1\u03bb\u03bf\u03bd\u03af\u03ba\u03b7"", ""addr:housenumber"": ""20"", ""addr:postcode"": ""54622"", ""addr:street"": ""\u03a0\u03c1\u03bf\u03be\u03ad\u03bd\u03bf\u03c5 \u039a\u03bf\u03c1\u03bf\u03bc\u03b7\u03bb\u03ac"", ""amenity"": ""veterinary"", ""name"": ""Pet Clinic"", ""operator"": ""Konstantinos Neofytos"", ""website"": ""https://pet-clinic.gr/""}"
0001-1499,Agricultural Services,12,Messaria Vet Clinic,messaria vet clinic,51,medium,"website,phone,address",1,node,11638512691,36.4027289,25.4478344,https://santorinivet.com,22860 31482,84700 Messaria,"{""addr:city"": ""Messaria"", ""addr:postcode"": ""84700"", ""amenity"": ""veterinary"", ""name"": ""Messaria Vet Clinic"", ""phone"": ""22860 31482"", ""website"": ""https://santorinivet.com""}"
0001-1499,Agricultural Services,13,Melissakis Olive Mill,melissakis olive mill,46,low,"website,phone",1,node,6510417586,35.4296789,24.1799033,http://www.melissakis.gr,+30 2825 031229,,"{""check_date"": ""2023-05-11"", ""email"": ""olivemel@otenet.gr"", ""name"": ""Melissakis Olive Mill"", ""name:en"": ""Melissakis Olive Mill"", ""name:ru"": ""\u0441\u0435\u043c\u0435\u0439\u043d\u0430\u044f \u0444\u0430\u0431\u0440\u0438\u043a\u0430 \u043e\u043b\u0438\u0432\u043a\u043e\u0432\u043e\u0433\u043e \u043c\u0430\u0441\u043b\u0430"", ""phone"": ""+30 2825 031229"", ""shop"": ""farm"", ""website"": ""http://www.melissakis.gr""}"
0001-1499,Agricultural Services,14,Vet Clinic,vet clinic,44,low,"operator,phone",4,node,3332360539,35.1873294,25.7136692,,+302841089139,,"{""amenity"": ""veterinary"", ""name"": ""Vet Clinic"", ""operator"": ""\u03a3\u03c6\u03b1\u03ba\u03b9\u03b1\u03bd\u03ac\u03ba\u03b7\u03c2 \u0399\u03c9\u03ac\u03bd\u03bd\u03b7\u03c2-Sfakianakis Ioannis"", ""phone"": ""+302841089139""}"
0001-1499,Agricultural Services,15,Empona’s Nature,emponas nature,44,low,"operator,phone",1,node,6430616612,36.2217049,27.8523903,,+30 22460 41152,,"{""email"": ""stheoulakis_96@hotmail.com"", ""name"": ""Empona\u2019s Nature"", ""operator"": ""Theoulakis Kiriakos"", ""phone"": ""+30 22460 41152"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,16,Vicky's Vet Clinic,vicky s vet clinic,39,low,"operator,address",1,node,1758763429,40.5832248,22.9488292,,,Κερασούντος 77 55131 Καλαμαριά,"{""addr:city"": ""\u039a\u03b1\u03bb\u03b1\u03bc\u03b1\u03c1\u03b9\u03ac"", ""addr:country"": ""GR"", ""addr:housenumber"": ""77"", ""addr:postcode"": ""55131"", ""addr:street"": ""\u039a\u03b5\u03c1\u03b1\u03c3\u03bf\u03cd\u03bd\u03c4\u03bf\u03c2"", ""amenity"": ""veterinary"", ""name"": ""Vicky's Vet Clinic"", ""operator"": ""\u0392\u03b1\u03c3\u03b9\u03bb\u03b9\u03ba\u03ae-\u039c\u03b1\u03c1\u03af\u03b1 \u0386\u03c7\u03bb\u03b7"", ""source"": ""geodata.gov.gr""}"
0001-1499,Agricultural Services,17,Vet Avenue,vet avenue,39,low,"phone,address",1,node,12894171494,38.0147636,23.7403004,,6949494603,Γ. Χατζηδάκη 31 Αθήνα,"{""addr:city"": ""\u0391\u03b8\u03ae\u03bd\u03b1"", ""addr:housenumber"": ""31"", ""addr:street"": ""\u0393. \u03a7\u03b1\u03c4\u03b6\u03b7\u03b4\u03ac\u03ba\u03b7"", ""amenity"": ""veterinary"", ""email"": ""vetavenue@outlook.com.gr"", ""facebook"": ""https://www.facebook.com/thevetavenue/"", ""name"": ""Vet Avenue"", ""phone"": ""6949494603""}"
0001-1499,Agricultural Services,18,Papaioannou,papaioannou,36,low,website,1,node,6132367185,37.8957634,23.9446012,https://www.vets.com.gr/ιατρεία/,,,"{""amenity"": ""veterinary"", ""fixme"": ""i cannot find it on their webpage, is it still open? if yes please update contact details."", ""name"": ""Papaioannou"", ""website"": ""https://www.vets.com.gr/\u03b9\u03b1\u03c4\u03c1\u03b5\u03af\u03b1/""}"
0001-1499,Agricultural Services,19,Biohof Karababas,biohof karababas,36,low,website,1,node,963528567,36.7505838,22.5315455,https://www.biohof-karababas.com,,,"{""name"": ""Biohof Karababas"", ""shop"": ""farm"", ""website"": ""https://www.biohof-karababas.com""}"
0001-1499,Agricultural Services,20,Animed,animed,36,low,website,1,node,12351080391,40.3024583,21.798935,https://animedkozani.gr/,,,"{""amenity"": ""veterinary"", ""name"": ""Animed"", ""website"": ""https://animedkozani.gr/""}"
0001-1499,Agricultural Services,21,Resou Vet Care,resou vet care,34,low,operator,1,node,6954851869,37.9420476,23.7086917,,,,"{""amenity"": ""veterinary"", ""name"": ""Resou Vet Care"", ""operator"": ""\u0395\u03b9\u03c1\u03ae\u03bd\u03b7 \u03a1\u03ad\u03c3\u03bf\u03c5""}"
0001-1499,Agricultural Services,22,Nitizakis local farm products,nitizakis local farm products,34,low,phone,1,node,4308677473,36.7340085,25.2785023,,6972605985 Andreas,,"{""description"": ""local farm products"", ""name"": ""Nitizakis local farm products"", ""organic"": ""yes"", ""phone"": ""6972605985 Andreas"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,23,Med Vet Clinic,med vet clinic,34,low,phone,1,node,9751483017,37.0646463,22.4330374,,+30 2731 020999,,"{""amenity"": ""veterinary"", ""name"": ""Med Vet Clinic"", ""phone"": ""+30 2731 020999""}"
0001-1499,Agricultural Services,24,Caring vet,caring vet,34,low,operator,1,node,5167421677,37.9947705,23.7617369,,,,"{""amenity"": ""veterinary"", ""name"": ""Caring vet"", ""operator"": ""\u03a3\u03bf\u03c6\u03b9\u03b1\u03bd\u03bf\u03cd \u039c\u03b1\u03c1\u03af\u03b1"", ""wheelchair"": ""no""}"
0001-1499,Agricultural Services,25,MY VET CLINIC / ΚΤΗΝΙΑΤΡΕΙΟ,my vet clinic,29,low,address,2,way,1416496161,40.2477035,23.2819803,,,Thessalonikis 2 632 00 Νέα Μουδανιά,"{""addr:city"": ""\u039d\u03ad\u03b1 \u039c\u03bf\u03c5\u03b4\u03b1\u03bd\u03b9\u03ac"", ""addr:housenumber"": ""2"", ""addr:postcode"": ""632 00"", ""addr:street"": ""Thessalonikis"", ""amenity"": ""veterinary"", ""building"": ""yes"", ""name"": ""MY VET CLINIC / \u039a\u03a4\u0397\u039d\u0399\u0391\u03a4\u03a1\u0395\u0399\u039f""}"
0001-1499,Agricultural Services,26,ΜΑΡΙΑ ΧΑΛΚΙΔΙΟΥ VET+PET,vet pet,29,low,address,1,node,4693413971,36.8750895,27.2011269,,,ΕΛΕΥΘΕΡΙΑΣ,"{""addr:street"": ""\u0395\u039b\u0395\u03a5\u0398\u0395\u03a1\u0399\u0391\u03a3"", ""amenity"": ""veterinary"", ""check_date"": ""2025-10-22"", ""name"": ""\u039c\u0391\u03a1\u0399\u0391 \u03a7\u0391\u039b\u039a\u0399\u0394\u0399\u039f\u03a5 VET+PET""}"
0001-1499,Agricultural Services,27,Pefki Vet,pefki vet,29,low,address,1,node,12616863983,38.0595261,23.7871571,,,Ξενικουδάκη Πεύκη,"{""addr:city"": ""\u03a0\u03b5\u03cd\u03ba\u03b7"", ""addr:street"": ""\u039e\u03b5\u03bd\u03b9\u03ba\u03bf\u03c5\u03b4\u03ac\u03ba\u03b7"", ""amenity"": ""veterinary"", ""name"": ""Pefki Vet""}"
0001-1499,Agricultural Services,28,Mana Gi,mana gi,29,low,address,1,node,12709872205,38.6203522,21.4118681,,,Σκόπα 1 30132 Agrinio,"{""addr:city"": ""Agrinio"", ""addr:housenumber"": ""1"", ""addr:postcode"": ""30132"", ""addr:street"": ""\u03a3\u03ba\u03cc\u03c0\u03b1"", ""name"": ""Mana Gi"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,29,Vet Care,vet care,24,low,,2,node,10916549350,36.4393608,28.2336973,,,,"{""amenity"": ""veterinary"", ""name"": ""Vet Care""}"
0001-1499,Agricultural Services,30,Τσιφλίκι ecofarm,ecofarm,24,low,,1,way,1127576556,41.0795702,23.995519,,,,"{""contact:facebook"": ""https://facebook.com/tsifliki/"", ""diet:vegan"": ""only"", ""landuse"": ""farmyard"", ""name"": ""\u03a4\u03c3\u03b9\u03c6\u03bb\u03af\u03ba\u03b9 ecofarm"", ""organic"": ""only"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,31,animal doctor,animal doctor,24,low,,1,node,4166152116,39.7070174,20.7947879,,,,"{""amenity"": ""veterinary"", ""name"": ""animal doctor""}"
0001-1499,Agricultural Services,32,Zouridakis Cretan products,zouridakis cretan products,24,low,,1,node,12114090901,37.9797483,23.7274906,,,,"{""check_date"": ""2025-05-08"", ""name"": ""Zouridakis Cretan products"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,33,Vets4pets,vets4pets,24,low,,1,node,3738901036,37.8347477,23.7895952,,,,"{""amenity"": ""veterinary"", ""name"": ""Vets4pets"", ""wheelchair"": ""no""}"
0001-1499,Agricultural Services,34,Vetology,vetology,24,low,,1,node,13189990273,38.0284088,23.7332893,,,,"{""amenity"": ""veterinary"", ""name"": ""Vetology""}"
0001-1499,Agricultural Services,35,Veterani office,veterani office,24,low,,1,node,8952973814,35.491729,23.6662732,,,,"{""amenity"": ""veterinary"", ""name"": ""Veterani office""}"
0001-1499,Agricultural Services,36,Vet-Spot,vet spot,24,low,,1,node,12121666872,37.9391961,23.7361298,,,,"{""amenity"": ""veterinary"", ""name"": ""Vet-Spot""}"
0001-1499,Agricultural Services,37,Vet O'clock,vet o clock,24,low,,1,node,10156854982,37.8647755,23.7485132,,,,"{""amenity"": ""veterinary"", ""name"": ""Vet O'clock""}"
0001-1499,Agricultural Services,38,Vet Diagnosis,vet diagnosis,24,low,,1,node,6637166319,38.0388141,23.7571245,,,,"{""amenity"": ""veterinary"", ""name"": ""Vet Diagnosis""}"
0001-1499,Agricultural Services,39,Vegetables,vegetables,24,low,,1,node,1446842687,36.8895247,27.2331556,,,,"{""building"": ""yes"", ""name"": ""Vegetables"", ""produce"": ""vegatables"", ""shop"": ""farm"", ""source"": ""survey""}"
0001-1499,Agricultural Services,40,Teddy's pet house Πλούμης,teddy s pet house,24,low,,1,node,3611241880,38.3972403,21.846706,,,,"{""amenity"": ""veterinary"", ""name"": ""Teddy's pet house \u03a0\u03bb\u03bf\u03cd\u03bc\u03b7\u03c2""}"
0001-1499,Agricultural Services,41,Spetses Cares For Animals,spetses cares for animals,24,low,,1,node,13318133870,37.2663105,23.1556026,,,,"{""amenity"": ""veterinary"", ""name"": ""Spetses Cares For Animals""}"
0001-1499,Agricultural Services,42,Skyros Vet Center,skyros vet center,24,low,,1,node,5766323735,38.9050956,24.5661512,,,,"{""amenity"": ""veterinary"", ""name"": ""Skyros Vet Center"", ""shop"": ""pet""}"
0001-1499,Agricultural Services,43,Pets Friends,pets friends,24,low,,1,node,13301291239,37.9811709,23.7274287,,,,"{""amenity"": ""veterinary"", ""name"": ""Pets Friends""}"
0001-1499,Agricultural Services,44,Pet Vet West,pet vet west,24,low,,1,node,13230415748,37.9973049,23.682267,,,,"{""amenity"": ""veterinary"", ""name"": ""Pet Vet West""}"
0001-1499,Agricultural Services,45,Pawsitive steps,pawsitive steps,24,low,,1,node,13314597630,37.9997021,23.7112938,,,,"{""amenity"": ""veterinary"", ""name"": ""Pawsitive steps""}"
0001-1499,Agricultural Services,46,PAWsitive,pawsitive,24,low,,1,node,13083722690,38.0165301,23.8128362,,,,"{""amenity"": ""veterinary"", ""name"": ""PAWsitive"", ""parking"": ""street_side""}"
0001-1499,Agricultural Services,47,Ohana Pets,ohana pets,24,low,,1,node,12599925126,38.0467106,23.7507174,,,,"{""amenity"": ""veterinary"", ""name"": ""Ohana Pets""}"
0001-1499,Agricultural Services,48,My Pet Care,my pet care,24,low,,1,node,11748323832,38.0073417,23.7919087,,,,"{""amenity"": ""veterinary"", ""check_date"": ""2024-03-20"", ""name"": ""My Pet Care""}"
0001-1499,Agricultural Services,49,Medical center,medical center,24,low,,1,node,7862590571,38.0571224,23.8082299,,,,"{""amenity"": ""veterinary"", ""name"": ""Medical center""}"
0001-1499,Agricultural Services,50,MD VET,md vet,24,low,,1,node,6033467048,37.9337508,23.72976,,,,"{""amenity"": ""veterinary"", ""name"": ""MD VET""}"
0001-1499,Agricultural Services,51,Local Traditional Products,local traditional products,24,low,,1,node,3069386293,36.7253103,25.2738942,,,,"{""name"": ""Local Traditional Products"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,52,Lesbian Wildlife Hospital,lesbian wildlife hospital,24,low,,1,node,505078073,39.2483546,26.2680616,,,,"{""amenity"": ""veterinary"", ""name"": ""Lesbian Wildlife Hospital"", ""url"": ""http://www.lesvos.com/wildlifehospital/""}"
0001-1499,Agricultural Services,53,Humanimal,humanimal,24,low,,1,node,13084198185,38.0057436,23.7968206,,,,"{""amenity"": ""veterinary"", ""name"": ""Humanimal""}"
0001-1499,Agricultural Services,54,Honey,honey,24,low,,1,node,13005997603,38.2395048,20.4759712,,,,"{""name"": ""Honey"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,55,FROUTEMPORIKI,froutemporiki,24,low,,1,node,6953431945,38.992051,20.7238382,,,,"{""name"": ""FROUTEMPORIKI"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,56,Clinica Veterinaria,clinica veterinaria,24,low,,1,node,12499010702,35.3245199,25.1158203,,,,"{""amenity"": ""veterinary"", ""name"": ""Clinica Veterinaria""}"
0001-1499,Agricultural Services,57,Athina Ecofarm,athina ecofarm,24,low,,1,node,12069629802,37.6249807,23.1561366,,,,"{""name"": ""Athina Ecofarm"", ""shop"": ""farm""}"
0001-1499,Agricultural Services,58,Antonis,antonis,24,low,,1,node,6533550094,35.2052381,26.1079122,,,,"{""amenity"": ""veterinary"", ""check_date"": ""2026-03-20"", ""name"": ""Antonis"", ""name:el"": ""\u0391\u03bd\u03c4\u03ce\u03bd\u03b7\u03c2""}"
0001-1499,Agricultural Services,59,Animal's H&C,animal s h c,24,low,,1,node,4535968094,37.9310739,23.6958076,,,,"{""amenity"": ""veterinary"", ""check_date"": ""2025-10-10"", ""name"": ""Animal's H&C""}"
0001-1499,Agricultural Services,60,Animal medical & spa care,animal medical spa care,24,low,,1,node,6076261899,37.9781711,23.7411125,,,,"{""amenity"": ""veterinary"", ""name"": ""Animal medical & spa care"", ""wheelchair"": ""no""}"
0001-1499,Agricultural Services,61,Animal Medical Center,animal medical center,24,low,,1,node,13479177004,38.0030671,23.7917438,,,,"{""amenity"": ""veterinary"", ""name"": ""Animal Medical Center""}"
0001-1499,Agricultural Services,62,AkesisVet,akesisvet,24,low,,1,node,12876850455,37.877429,23.7579688,,,,"{""amenity"": ""veterinary"", ""name"": ""AkesisVet""}"
0001-1499,Agricultural Services,63,2 Vets 4 Pets,2 vets 4 pets,24,low,,1,node,13658960929,38.0007037,23.8189748,,,,"{""amenity"": ""veterinary"", ""name"": ""2 Vets 4 Pets""}"
